years,program,Y0_enrol,Y0_complete,Y0_grade,Y1_enrol,Y1_complete,Y1_grade,Y2_enrol,Y2_complete,Y2_grade,Y3_enrol,Y3_complete,Y3_grade,Y4_enrol,Y4_complete,Y4_grade,Class
four,nursing,high,high,B,medium,medium,B,high,high,B,high,medium,C,low,low,E,ok
four,nursing,high,high,B,medium,medium,B,high,high,B,high,high,B,low,low,E,ok
four,nursing,high,high,A,medium,medium,B,high,high,B,high,high,B,low,low,E,ok
four,nursing,high,high,A,medium,medium,B,high,high,B,high,high,B,low,low,E,ok
four,nursing,high,high,A,medium,medium,A,high,high,B,high,high,B,low,low,E,ok
four,nursing,high,high,A,medium,medium,B,high,high,B,high,high,C,low,low,E,ok
four,nursing,low,low,E,low,low,E,medium,low,E,high,medium,B,high,medium,B,fail
four,nursing,high,high,B,medium,medium,B,high,high,C,high,high,C,low,low,E,ok
four,nursing,high,high,B,medium,medium,B,high,medium,B,high,high,C,low,low,E,ok
four,nursing,high,high,A,medium,medium,B,high,high,B,high,high,B,low,low,E,ok
four,nursing,low,low,B,high,high,B,high,medium,B,medium,medium,B,high,high,B,ok
four,nursing,high,high,B,medium,medium,B,high,high,B,high,medium,C,low,low,E,ok
four,nursing,low,low,A,high,high,A,medium,medium,B,high,medium,B,high,high,B,ok
four,nursing,high,high,A,medium,medium,B,high,high,B,high,high,B,low,low,E,ok
four,nursing,high,high,A,medium,medium,B,high,high,B,high,high,B,low,low,E,ok
four,nursing,high,high,A,medium,medium,B,high,high,A,high,high,B,low,low,E,ok
four,nursing,high,high,A,medium,medium,B,high,high,B,high,high,B,low,low,E,ok
four,nursing,high,high,A,medium,medium,B,high,high,B,high,high,B,low,low,E,ok
four,nursing,high,high,B,medium,medium,C,high,high,C,high,high,C,low,low,E,ok
four,nursing,high,high,A,medium,medium,B,high,high,B,high,high,B,low,low,E,ok
four,nursing,high,high,B,medium,medium,B,high,high,C,high,high,C,low,low,E,ok
four,nursing,high,high,B,medium,medium,B,high,high,B,high,high,B,low,low,E,ok
four,nursing,high,high,A,medium,medium,B,high,high,B,high,high,B,low,low,E,ok
four,nursing,high,high,A,medium,medium,B,high,high,B,high,high,B,low,low,E,ok
four,nursing,high,high,B,high,high,B,medium,medium,B,high,high,B,low,low,E,ok
four,nursing,high,high,B,medium,medium,B,high,high,B,high,high,B,low,low,E,ok
four,nursing,high,high,A,medium,medium,B,high,high,B,high,high,C,low,low,E,ok
four,nursing,high,high,A,medium,medium,B,high,high,B,high,high,B,low,low,E,ok
four,nursing,high,high,A,medium,medium,B,high,high,B,high,medium,B,low,low,E,ok
four,nursing,medium,low,E,medium,low,E,high,medium,B,medium,medium,C,high,medium,B,fail
four,nursing,high,high,B,medium,medium,B,high,high,B,high,high,B,low,low,E,ok
four,nursing,high,high,A,medium,medium,B,high,high,B,high,high,B,low,low,E,ok
four,nursing,high,high,B,medium,medium,B,high,high,B,high,high,B,low,low,E,ok
four,nursing,high,high,B,medium,medium,B,high,high,B,high,high,B,low,low,E,ok
four,nursing,high,high,A,medium,medium,B,high,high,B,high,high,B,low,low,E,ok
four,nursing,high,high,A,medium,medium,B,low,low,E,high,medium,B,high,high,B,ok
four,nursing,high,high,A,medium,medium,B,high,high,B,high,high,C,low,low,E,ok
four,nursing,high,high,B,medium,medium,B,high,high,B,high,high,B,low,low,E,ok
four,nursing,high,high,A,medium,medium,B,high,high,A,high,high,A,low,low,E,ok
four,nursing,high,high,A,medium,medium,B,high,high,B,high,high,B,low,low,E,ok
four,nursing,high,high,A,medium,medium,B,high,high,B,high,high,B,low,low,E,ok
four,nursing,high,high,B,medium,medium,B,high,high,B,high,high,B,low,low,E,ok
four,nursing,high,high,A,medium,medium,B,high,high,C,high,high,B,low,low,E,ok
four,nursing,high,high,A,medium,medium,B,high,high,B,high,high,B,low,low,E,ok
four,nursing,high,high,B,medium,medium,B,high,high,B,high,high,B,low,low,E,ok
four,nursing,high,high,A,medium,medium,A,high,high,B,high,medium,B,low,low,E,ok
four,nursing,high,high,A,medium,medium,B,high,high,B,high,high,B,low,low,E,ok
four,nursing,high,high,A,medium,medium,B,high,high,B,high,high,B,low,low,E,ok
four,nursing,high,high,A,medium,medium,B,high,high,B,high,high,B,low,low,E,ok
four,nursing,high,high,B,medium,medium,B,high,high,B,high,medium,B,low,low,E,ok
four,nursing,high,high,A,medium,medium,B,high,high,B,high,high,B,low,low,E,ok
four,nursing,high,low,C,high,low,C,high,low,C,high,medium,C,low,low,E,fail
four,nursing,high,high,B,medium,medium,B,high,high,B,high,high,B,low,low,E,ok
four,nursing,high,high,B,medium,medium,B,high,high,B,high,high,B,low,low,E,ok
four,nursing,high,high,B,medium,medium,B,high,high,B,high,high,B,low,low,E,ok
four,nursing,high,high,B,medium,medium,B,high,high,B,high,high,B,low,low,E,ok
four,nursing,high,high,B,medium,medium,B,high,high,B,high,high,B,low,low,E,ok
four,nursing,high,high,B,medium,medium,B,high,high,B,high,high,B,low,low,E,ok
four,nursing,high,high,A,medium,medium,B,high,high,B,high,high,B,low,low,E,ok
four,nursing,high,high,B,medium,medium,B,high,high,B,high,high,C,low,low,E,ok
four,nursing,high,high,A,medium,medium,B,high,high,B,high,high,B,low,low,E,ok
four,nursing,high,high,B,medium,medium,B,high,high,B,high,high,B,low,low,E,ok
four,nursing,high,high,A,medium,medium,B,high,high,B,high,high,B,low,low,E,ok
four,nursing,high,high,B,medium,medium,B,high,high,B,high,high,C,low,low,E,ok
four,nursing,high,high,A,medium,medium,B,high,high,B,high,high,B,low,low,E,ok
four,nursing,high,high,A,medium,medium,B,high,high,B,high,high,B,low,low,E,ok
four,nursing,low,low,B,high,medium,B,medium,medium,B,high,high,B,high,high,C,ok
four,nursing,high,high,A,medium,medium,B,high,high,B,high,high,B,low,low,E,ok
four,nursing,high,high,A,medium,medium,B,high,high,B,high,high,B,low,low,E,ok
four,nursing,high,high,A,medium,medium,B,high,high,B,high,high,B,low,low,E,ok
four,nursing,high,high,B,medium,medium,B,high,high,B,high,high,B,low,low,E,ok
four,nursing,medium,medium,B,high,high,C,low,low,E,low,low,E,low,low,E,ok
four,nursing,high,high,A,medium,medium,B,high,high,B,high,medium,B,low,low,E,ok
four,nursing,high,high,A,medium,medium,B,high,high,B,high,high,B,low,low,E,ok
four,nursing,low,low,B,high,high,B,medium,low,C,high,high,C,high,high,C,ok
four,nursing,low,low,B,low,low,E,low,low,E,high,medium,B,medium,medium,B,ok
four,nursing,high,high,B,medium,medium,B,high,high,B,high,medium,C,low,low,E,ok
four,nursing,medium,medium,B,high,medium,B,high,high,C,medium,medium,B,high,high,C,ok
four,nursing,high,high,B,medium,medium,B,high,high,B,high,high,B,low,low,E,ok
four,nursing,high,high,A,medium,medium,B,high,high,B,high,high,B,low,low,E,ok
four,nursing,medium,medium,A,high,high,B,high,high,B,high,high,B,low,low,E,ok
four,nursing,medium,medium,A,high,high,B,high,high,B,high,high,B,low,low,E,ok
four,nursing,low,low,B,high,medium,B,medium,medium,B,medium,medium,C,high,medium,C,ok
four,nursing,medium,medium,A,high,high,B,high,high,B,high,high,C,low,low,E,ok
four,nursing,medium,medium,A,high,high,B,high,high,B,high,medium,B,low,low,E,ok
four,nursing,medium,medium,A,high,high,B,high,high,B,high,medium,C,low,low,E,ok
four,nursing,medium,medium,A,high,high,A,high,high,B,high,high,B,low,low,E,ok
four,nursing,medium,medium,A,high,high,B,high,high,B,high,high,B,low,low,E,ok
four,nursing,medium,medium,A,high,high,B,high,high,B,high,high,B,low,low,E,ok
four,nursing,medium,medium,B,high,high,B,high,high,B,high,high,B,low,low,E,ok
four,nursing,medium,medium,B,high,high,B,high,high,C,high,high,B,low,low,E,ok
four,nursing,medium,medium,A,high,high,B,high,high,B,high,high,B,low,low,E,ok
four,nursing,medium,medium,B,high,high,B,high,high,C,high,high,B,low,low,E,ok
four,nursing,medium,medium,A,high,high,B,high,high,B,high,medium,B,low,low,E,ok
four,nursing,medium,medium,A,high,high,B,high,high,B,high,high,B,low,low,E,ok
four,nursing,medium,medium,B,high,high,B,high,high,B,high,high,B,low,low,E,ok
four,nursing,medium,medium,A,high,high,B,high,high,B,high,high,C,low,low,E,ok
four,nursing,medium,medium,A,high,high,B,high,high,B,high,high,B,low,low,E,ok
four,nursing,medium,medium,A,high,high,B,high,high,B,high,high,B,low,low,E,ok
four,nursing,low,low,A,medium,medium,B,high,high,B,high,high,C,high,high,B,ok
four,nursing,medium,medium,A,high,high,B,high,high,B,high,medium,B,low,low,E,ok
four,nursing,medium,medium,B,high,high,B,high,high,C,high,high,B,low,low,E,ok
four,nursing,high,high,B,high,medium,B,high,high,B,high,high,B,low,low,E,ok
four,nursing,medium,medium,A,high,high,B,high,high,B,high,high,B,low,low,E,ok
four,nursing,medium,medium,A,high,high,B,high,high,B,high,high,B,low,low,E,ok
four,nursing,medium,medium,B,high,high,B,high,high,B,high,high,B,low,low,E,ok
four,nursing,medium,medium,A,high,high,B,high,high,B,high,high,B,low,low,E,ok
four,nursing,medium,medium,B,high,high,B,high,high,C,high,high,B,low,low,E,ok
four,nursing,medium,medium,A,high,high,B,high,high,C,high,medium,B,low,low,E,ok
four,nursing,medium,medium,A,high,high,B,high,high,B,high,high,B,low,low,E,ok
four,nursing,medium,medium,A,high,high,B,high,high,B,high,high,B,low,low,E,ok
four,nursing,medium,medium,A,high,high,A,high,high,B,high,medium,B,low,low,E,ok
four,nursing,medium,medium,A,high,high,B,high,high,B,high,high,B,low,low,E,ok
four,nursing,high,high,A,medium,medium,A,high,high,B,high,high,B,high,low,E,ok
four,nursing,medium,medium,A,high,high,B,high,high,B,high,medium,B,low,low,E,ok
four,nursing,medium,medium,A,high,high,B,high,high,B,high,high,B,low,low,E,ok
four,nursing,medium,medium,B,high,high,B,high,high,B,high,high,B,low,low,E,ok
four,nursing,medium,medium,A,high,high,A,high,high,A,high,high,B,low,low,E,ok
four,nursing,medium,medium,A,high,high,B,high,high,B,high,high,B,low,low,E,ok
four,nursing,medium,medium,A,high,high,B,high,high,B,high,high,B,low,low,E,ok
four,nursing,medium,medium,B,high,high,B,high,high,B,high,high,B,low,low,E,ok
four,nursing,medium,medium,A,high,high,B,high,high,B,high,high,B,low,low,E,ok
four,nursing,medium,medium,B,high,high,B,high,high,B,high,high,B,low,low,E,ok
four,nursing,medium,medium,A,high,high,B,high,high,B,high,high,B,low,low,E,ok
four,nursing,medium,medium,A,high,high,A,high,high,B,high,high,B,low,low,E,ok
four,nursing,medium,medium,A,high,high,A,high,high,B,high,high,A,low,low,E,ok
four,nursing,medium,medium,B,high,high,B,high,high,B,high,high,B,low,low,E,ok
four,nursing,high,high,B,medium,medium,B,high,medium,B,high,low,E,high,high,B,ok
four,nursing,medium,medium,A,high,high,B,high,high,B,high,high,B,low,low,E,ok
four,nursing,medium,medium,A,high,high,B,high,high,B,high,high,B,low,low,E,ok
four,nursing,medium,medium,A,high,high,B,high,high,B,high,high,B,low,low,E,ok
four,nursing,medium,medium,A,high,high,B,high,high,B,high,high,B,low,low,E,ok
four,nursing,medium,medium,B,high,high,B,high,high,B,high,high,B,low,low,E,ok
four,nursing,medium,medium,A,high,high,B,high,high,B,high,high,B,low,low,E,ok
four,nursing,medium,medium,A,high,high,A,high,high,A,high,high,B,low,low,E,ok
four,nursing,medium,medium,A,high,high,B,high,high,B,high,high,B,low,low,E,ok
four,nursing,medium,medium,B,high,high,B,high,high,B,high,high,B,low,low,E,ok
four,nursing,medium,medium,A,high,high,A,high,high,B,high,high,B,low,low,E,ok
four,nursing,medium,medium,A,high,high,A,high,high,B,high,high,B,low,low,E,ok
four,nursing,medium,medium,B,high,high,B,high,high,C,high,high,C,low,low,E,ok
four,nursing,medium,medium,A,high,high,A,high,high,B,high,high,B,low,low,E,ok
four,nursing,medium,medium,B,high,high,B,high,high,C,high,high,C,low,low,E,ok
four,nursing,low,low,B,medium,medium,B,medium,medium,B,medium,medium,C,high,medium,C,ok
four,nursing,medium,medium,A,high,high,B,high,high,B,high,high,B,low,low,E,ok
four,nursing,medium,medium,A,high,high,B,high,medium,B,high,high,B,low,low,E,ok
four,nursing,medium,medium,A,high,high,A,high,high,B,high,high,B,low,low,E,ok
four,nursing,medium,medium,A,high,high,B,high,high,B,high,high,B,low,low,E,ok
four,nursing,medium,medium,B,high,high,B,high,high,B,high,high,B,low,low,E,ok
four,nursing,medium,medium,B,high,high,B,high,high,C,high,high,B,low,low,E,ok
four,nursing,low,low,E,low,low,E,low,low,E,low,low,E,low,low,E,fail
four,nursing,medium,medium,B,high,high,B,high,high,B,high,high,B,low,low,E,ok
four,nursing,medium,medium,A,high,high,B,high,high,C,high,high,B,low,low,E,ok
four,nursing,low,low,B,low,low,E,low,low,E,low,low,E,low,low,E,ok
four,nursing,medium,medium,A,high,high,A,high,high,B,high,high,B,low,low,E,ok
four,nursing,medium,medium,A,high,high,B,high,high,B,high,high,B,low,low,E,ok
four,nursing,medium,medium,A,high,high,B,high,high,B,high,high,B,low,low,E,ok
four,nursing,medium,medium,A,high,high,A,high,high,B,high,high,B,low,low,E,ok
four,nursing,medium,medium,A,high,high,B,high,high,B,high,high,B,low,low,E,ok
four,nursing,high,high,B,medium,low,C,medium,medium,C,high,medium,C,high,high,C,ok
four,nursing,medium,medium,A,high,high,B,high,high,B,high,high,C,low,low,E,ok
four,nursing,medium,medium,A,high,high,B,high,high,B,high,high,C,low,low,E,ok
four,nursing,medium,medium,A,high,high,B,high,high,B,high,high,B,low,low,E,ok
four,nursing,medium,medium,B,high,high,B,high,high,B,high,high,C,low,low,E,ok
four,nursing,medium,medium,A,high,high,B,high,high,B,high,high,B,low,low,E,ok
four,nursing,medium,medium,A,high,high,B,high,high,B,high,high,C,low,low,E,ok
four,nursing,medium,medium,A,high,high,C,high,medium,B,high,high,C,low,low,E,ok
four,nursing,medium,medium,A,high,high,B,high,high,B,high,medium,C,low,low,E,ok
four,nursing,medium,medium,A,high,high,B,high,medium,B,high,high,C,low,low,E,ok
four,nursing,medium,medium,B,high,high,B,high,high,B,high,high,B,low,low,E,ok
four,nursing,medium,medium,A,high,high,B,high,high,B,high,high,C,low,low,E,ok
four,nursing,medium,medium,B,high,high,B,high,medium,C,high,high,C,low,low,E,ok
four,nursing,medium,medium,A,high,high,B,high,high,B,high,high,C,low,low,E,ok
four,nursing,medium,medium,A,high,high,B,high,high,B,high,high,B,low,low,E,ok
four,nursing,medium,medium,B,high,high,B,high,high,B,high,high,C,low,low,E,ok
four,nursing,low,low,C,medium,medium,B,medium,medium,B,medium,medium,B,high,medium,C,ok
four,nursing,medium,medium,A,high,high,B,high,high,B,high,high,B,low,low,E,ok
four,nursing,medium,medium,B,medium,medium,B,medium,medium,B,high,medium,C,high,high,B,ok
four,nursing,medium,medium,B,high,high,B,high,medium,B,high,medium,C,low,low,E,ok
four,nursing,medium,medium,A,high,high,B,high,high,B,high,high,B,low,low,E,ok
four,nursing,medium,medium,A,high,high,B,high,high,B,high,high,B,low,low,E,ok
four,nursing,medium,medium,A,high,high,B,high,high,B,high,high,C,low,low,E,ok
four,nursing,medium,medium,A,high,high,B,high,high,B,high,high,B,low,low,E,ok
four,nursing,medium,medium,A,low,low,A,high,medium,B,high,high,B,high,high,B,ok
four,nursing,medium,medium,A,high,high,B,high,high,B,high,high,B,low,low,E,ok
four,nursing,medium,medium,A,high,high,B,high,high,B,high,high,B,low,low,E,ok
four,nursing,medium,medium,A,medium,medium,B,medium,medium,B,high,medium,C,high,high,B,ok
four,nursing,medium,medium,A,high,high,B,high,high,B,high,high,B,low,low,E,ok
four,nursing,medium,medium,B,high,high,B,high,high,C,high,medium,C,low,low,E,ok
four,nursing,medium,medium,A,high,high,B,high,high,B,high,high,B,low,low,E,ok
four,nursing,medium,medium,A,high,high,B,high,high,B,high,high,C,low,low,E,ok
four,nursing,medium,medium,B,high,high,B,high,high,B,high,medium,C,low,low,E,ok
four,nursing,medium,medium,A,high,high,B,high,high,B,high,medium,C,low,low,E,ok
four,nursing,medium,medium,A,high,high,B,high,high,B,high,high,B,low,low,E,ok
four,nursing,medium,medium,A,high,high,B,high,high,B,high,high,B,low,low,E,ok
four,nursing,medium,medium,A,high,high,B,high,high,C,high,high,C,low,low,E,ok
four,nursing,medium,medium,A,high,high,A,high,high,B,high,high,B,low,low,E,ok
four,nursing,medium,medium,A,high,high,B,high,high,B,high,high,C,low,low,E,ok
four,nursing,medium,medium,A,high,high,B,high,high,B,high,high,B,low,low,E,ok
four,nursing,medium,medium,A,high,high,B,high,high,B,high,high,C,low,low,E,ok
four,nursing,medium,medium,A,high,high,B,high,high,B,high,high,C,low,low,E,ok
four,nursing,medium,medium,A,high,high,B,high,high,B,high,medium,C,low,low,E,ok
four,nursing,medium,medium,A,high,high,B,high,high,B,high,high,B,low,low,E,ok
four,nursing,medium,medium,A,high,high,B,high,high,B,high,high,C,low,low,E,ok
four,nursing,high,high,C,medium,medium,B,medium,medium,C,high,medium,C,high,high,C,ok
four,nursing,medium,medium,A,high,high,B,high,high,B,high,high,B,low,low,E,ok
four,nursing,medium,medium,A,high,high,B,high,high,B,high,high,B,low,low,E,ok
four,nursing,medium,medium,B,high,high,B,high,high,B,high,high,B,low,low,E,ok
four,nursing,medium,medium,A,high,high,B,high,high,B,high,high,C,low,low,E,ok
four,nursing,medium,medium,A,high,high,B,high,high,B,high,high,B,low,low,E,ok
four,nursing,medium,medium,A,high,high,B,high,high,B,high,high,C,low,low,E,ok
four,nursing,medium,medium,A,high,high,B,high,high,B,high,high,B,low,low,E,ok
four,nursing,medium,medium,A,high,high,B,high,high,B,high,high,B,low,low,E,ok
four,nursing,medium,medium,A,high,high,A,high,high,A,high,high,B,low,low,E,ok
four,nursing,medium,medium,A,high,high,B,high,high,B,high,high,B,low,low,E,ok
four,nursing,medium,medium,A,high,high,B,high,high,B,high,high,B,low,low,E,ok
four,nursing,medium,medium,A,high,high,B,high,high,B,high,high,B,low,low,E,ok
four,nursing,medium,medium,A,high,high,B,high,high,B,high,high,B,low,low,E,ok
four,nursing,low,low,B,medium,medium,B,medium,medium,B,medium,medium,C,high,medium,C,ok
four,nursing,medium,medium,A,high,high,B,high,high,B,high,high,B,low,low,E,ok
four,nursing,medium,medium,A,high,high,B,high,high,B,high,high,C,low,low,E,ok
four,nursing,medium,medium,A,high,high,A,high,high,B,high,high,B,low,low,E,ok
four,nursing,medium,medium,B,high,high,C,high,medium,C,high,medium,C,low,low,E,ok
four,nursing,medium,medium,A,high,high,B,high,high,B,high,high,B,low,low,E,ok
four,nursing,medium,medium,A,high,high,A,high,high,A,high,high,B,low,low,E,ok
four,nursing,medium,medium,A,high,high,B,high,high,B,high,high,C,low,low,E,ok
four,nursing,medium,medium,A,high,high,B,high,high,B,high,high,B,low,low,E,ok
four,nursing,low,low,B,high,medium,B,medium,medium,B,medium,medium,C,high,medium,C,ok
four,nursing,medium,medium,A,high,high,B,high,high,B,high,high,B,low,low,E,ok
four,nursing,medium,medium,A,low,low,B,high,medium,B,high,medium,B,high,high,B,ok
four,nursing,high,high,B,low,low,E,low,low,E,low,low,E,medium,low,B,ok
four,nursing,medium,medium,B,low,low,B,medium,medium,B,medium,medium,B,high,medium,C,ok
four,nursing,medium,medium,B,medium,medium,B,medium,medium,B,high,medium,B,high,high,B,ok
four,nursing,low,low,A,high,medium,B,high,high,C,high,medium,B,high,high,C,ok
four,nursing,low,low,B,high,high,B,high,high,B,high,medium,B,high,medium,C,ok
four,nursing,medium,medium,A,high,high,A,high,high,A,high,high,B,low,low,E,ok
four,nursing,medium,medium,B,medium,medium,B,medium,medium,B,high,medium,C,high,high,C,ok
four,nursing,low,low,B,high,medium,B,high,high,C,high,high,B,high,high,B,ok
four,nursing,medium,low,E,low,low,E,low,low,E,medium,low,E,low,low,E,fail
four,nursing,medium,medium,B,low,low,B,low,low,B,high,medium,B,high,high,B,ok
four,nursing,medium,medium,B,low,low,B,low,low,A,high,medium,C,medium,medium,B,ok
four,nursing,medium,medium,C,low,low,E,low,low,E,low,low,E,high,low,C,ok
four,nursing,low,low,C,medium,low,B,high,medium,C,high,medium,C,high,low,B,ok
three,informatics,high,low,E,low,low,E,low,low,E,low,low,E,low,low,E,fail
three,management,high,low,C,high,low,B,low,low,E,low,low,E,low,low,E,ok
three,informatics,high,low,E,low,low,E,low,low,E,low,low,E,low,low,E,fail
three,informatics,high,low,E,low,low,E,low,low,E,low,low,E,low,low,E,fail
three,management,high,high,C,low,low,E,low,low,E,low,low,E,low,low,E,fail
three,management,high,low,C,high,low,C,low,low,E,low,low,E,low,low,E,ok
three,informatics,high,medium,C,high,medium,C,low,low,E,low,low,E,low,low,E,ok
three,management,high,high,C,low,low,E,low,low,E,low,low,E,low,low,E,fail
four,nursing,high,high,B,high,high,B,low,low,E,low,low,E,low,low,E,ok
four,nursing,high,high,B,high,high,B,low,low,E,low,low,E,low,low,E,ok
three,management,high,medium,C,high,low,C,low,low,E,low,low,E,low,low,E,ok
three,management,high,medium,C,high,low,C,low,low,E,low,low,E,low,low,E,ok
